AWG;dCu;ACu;dIso;AIso
10;0,259;0,052620;0,273;0,058572
11;0,231;0,041729;0,244;0,046738
12;0,205;0,033092;0,218;0,037309
13;0,183;0,026243;0,195;0,029793
14;0,163;0,020811;0,174;0,023800
15;0,145;0,016504;0,156;0,019021
16;0,129;0,013088;0,139;0,015207
17;0,115;0,010379;0,124;0,012164
18;0,102;0,008231;0,111;0,009735
19;0,091;0,006527;0,100;0,007794
20;0,081;0,005176;0,089;0,006244
21;0,072;0,004105;0,080;0,005004
22;0,064;0,003255;0,071;0,004013
23;0,057;0,002582;0,064;0,003221
24;0,051;0,002047;0,057;0,002586
25;0,045;0,001624;0,051;0,002078
26;0,040;0,001287;0,046;0,001671
27;0,036;0,001021;0,041;0,001344
28;0,032;0,000810;0,037;0,001083
29;0,029;0,000642;0,033;0,000872
30;0,025;0,000509;0,030;0,000704
31;0,023;0,000404;0,027;0,000568
32;0,020;0,000320;0,024;0,000459
33;0,018;0,000254;0,022;0,000371
34;0,016;0,000201;0,020;0,000300
35;0,014;0,000160;0,018;0,000243
36;0,013;0,000127;0,016;0,000197
37;0,011;0,000100;0,014;0,000160
38;0,010;0,000080;0,013;0,000130
39;0,009;0,000063;0,012;0,000106
40;0,008;0,000050;0,010;0,000086
41;0,007;0,000040;0,009;0,000070
